2023-05-03 09:17:44 status unpacked libbrotli1:amd64 1.0.9-2+b2
2023-05-03 09:17:44 install libbrotli-dev:amd64 <none> 1.0.9-2+b2
2023-05-03 09:17:44 status half-installed libbrotli-dev:amd64 1.0.9-2+b2
2023-05-03 09:17:44 status unpacked libbrotli-dev:amd64 1.0.9-2+b2
2023-05-03 09:17:44 install libmd0:amd64 <none> 1.0.3-3
2023-05-03 09:17:44 status half-installed libmd0:amd64 1.0.3-3
2023-05-03 09:17:44 status unpacked libmd0:amd64 1.0.3-3
2023-05-03 09:17:44 install libbsd0:amd64 <none> 0.11.3-1
2023-05-03 09:17:44 status half-installed libbsd0:amd64 0.11.3-1
2023-05-03 09:17:44 status unpacked libbsd0:amd64 0.11.3-1
2023-05-03 09:17:44 install libbz2-dev:amd64 <none> 1.0.8-4
2023-05-03 09:17:44 status half-installed libbz2-dev:amd64 1.0.8-4
2023-05-03 09:17:44 status unpacked libbz2-dev:amd64 1.0.8-4
2023-05-03 09:17:44 install libdb5.3-dev:amd64 <none> 5.3.28+dfsg1-0.8
2023-05-03 09:17:44 status half-installed libdb5.3-dev:amd64 5.3.28+dfsg1-0.8
2023-05-03 09:17:44 status unpacked libdb5.3-dev:amd64 5.3.28+dfsg1-0.8
2023-05-03 09:17:44 install libdb-dev:amd64 <none> 5.3.1+nmu1
2023-05-03 09:17:44 status half-installed libdb-dev:amd64 5.3.1+nmu1
2023-05-03 09:17:44 status unpacked libdb-dev:amd64 5.3.1+nmu1
2023-05-03 09:17:44 install libexpat1:amd64 <none> 2.2.10-2+deb11u5
2023-05-03 09:17:44 status half-installed libexpat1:amd64 2.2.10-2+deb11u5
2023-05-03 09:17:44 status unpacked libexpat1:amd64 2.2.10-2+deb11u5
2023-05-03 09:17:44 install libexpat1-dev:amd64 <none> 2.2.10-2+deb11u5
2023-05-03 09:17:44 status half-installed libexpat1-dev:amd64 2.2.10-2+deb11u5
2023-05-03 09:17:44 status unpacked libexpat1-dev:amd64 2.2.10-2+deb11u5
2023-05-03 09:17:44 install libffi-dev:amd64 <none> 3.3-6
2023-05-03 09:17:44 status half-installed libffi-dev:amd64 3.3-6
